STEVAL-MKI196V1 (LSM6DSO)

A_X [mg] 	 A_Y [mg] 	 A_Z [mg] 	A_X [deg] 	 A_Y [deg] 	 A_Z [deg] 	G_X [dps] 	 G_Y [dps] 	 G_Z [dps] 	
-25 	 4 	 1018 	-1 	 0 	 88 	-0.245 	 0.55125 	 -0.1575 	
-24 	 3 	 1017 	-1 	 0 	 88 	-0.30625 	 0.56875 	 -0.21 	
-25 	 3 	 1017 	-1 	 0 	 88 	-0.28875 	 0.56875 	 -0.23625 	
-24 	 3 	 1017 	-1 	 0 	 88 	-0.245 	 0.5425 	 -0.20125 	
-25 	 2 	 1017 	-1 	 0 	 88 	-0.28875 	 0.56 	 -0.21875 	
-24 	 2 	 1017 	-1 	 0 	 88 	-0.2975 	 0.58625 	 -0.21 	
-25 	 2 	 1017 	-1 	 0 	 88 	-0.21 	 0.53375 	 -0.18375 	
-25 	 3 	 1017 	-1 	 0 	 88 	-0.28 	 0.56 	 -0.175 	
-24 	 3 	 1017 	-1 	 0 	 88 	-0.35 	 0.5775 	 -0.1925 	
-25 	 3 	 1016 	-1 	 0 	 88 	-0.2625 	 0.58625 	 -0.2275 	
-25 	 3 	 1017 	-1 	 0 	 88 	-0.315 	 0.595 	 -0.21 	
-23 	 2 	 1017 	-1 	 0 	 88 	-0.3325 	 0.55125 	 -0.18375 	
-25 	 3 	 1017 	-1 	 0 	 88 	-0.245 	 0.5425 	 -0.18375 	
-25 	 3 	 1017 	-1 	 0 	 88 	-0.27125 	 0.5775 	 -0.20125 	
-24 	 2 	 1018 	-1 	 0 	 88 	-0.30625 	 0.53375 	 -0.21875 	
-24 	 3 	 1016 	-1 	 0 	 88 	-0.27125 	 0.55125 	 -0.21 	
-24 	 3 	 1017 	-1 	 0 	 88 	-0.28 	 0.53375 	 -0.20125 	
-23 	 2 	 1017 	-1 	 0 	 88 	-0.3325 	 0.5775 	 -0.21 	
-24 	 2 	 1017 	-1 	 0 	 88 	-0.28 	 0.5775 	 -0.1925 	
-24 	 3 	 1016 	-1 	 0 	 88 	-0.2625 	 0.56875 	 -0.1925 	
-24 	 2 	 1017 	-1 	 0 	 88 	-0.34125 	 0.5775 	 -0.20125 	
-24 	 2 	 1017 	-1 	 0 	 88 	-0.2975 	 0.60375 	 -0.1925 	
-24 	 3 	 1016 	-1 	 0 	 88 	-0.2625 	 0.63 	 -0.1925 	
-25 	 3 	 1017 	-1 	 0 	 88 	-0.32375 	 0.56 	 -0.20125 	
-24 	 3 	 1017 	-1 	 0 	 88 	-0.28 	 0.58625 	 -0.20125 	
-25 	 3 	 1016 	-1 	 0 	 88 	-0.25375 	 0.58625 	 -0.1575 	
-25 	 3 	 1017 	-1 	 0 	 88 	-0.30625 	 0.5425 	 -0.1925 	
-24 	 2 	 1018 	-1 	 0 	 88 	-0.315 	 0.5775 	 -0.20125 	
-24 	 3 	 1017 	-1 	 0 	 88 	-0.2625 	 0.5775 	 -0.1925 	
-25 	 3 	 1017 	-1 	 0 	 88 	-0.2975 	 0.5425 	 -0.21 	
-25 	 3 	 1018 	-1 	 0 	 88 	-0.30625 	 0.56 	 -0.21875 	
-25 	 3 	 1018 	-1 	 0 	 88 	-0.25375 	 0.5425 	 -0.16625 	
-24 	 3 	 1018 	-1 	 0 	 88 	-0.2975 	 0.56875 	 -0.16625 	
-25 	 3 	 1017 	-1 	 0 	 88 	-0.35 	 0.55125 	 -0.1925 	
-24 	 2 	 1017 	-1 	 0 	 88 	-0.28 	 0.56875 	 -0.18375 	
-24 	 3 	 1017 	-1 	 0 	 88 	-0.28 	 0.525 	 -0.20125 	
-25 	 3 	 1017 	-1 	 0 	 88 	-0.3325 	 0.55125 	 -0.21 	
-24 	 2 	 1016 	-1 	 0 	 88 	-0.25375 	 0.60375 	 -0.21 	
-25 	 3 	 1017 	-1 	 0 	 88 	-0.2625 	 0.5425 	 -0.23625 	
-24 	 4 	 1017 	-1 	 0 	 88 	-0.28 	 0.56875 	 -0.21 	
-25 	 3 	 1017 	-1 	 0 	 88 	-0.245 	 0.55125 	 -0.21 	
-24 	 3 	 1017 	-1 	 0 	 88 	-0.27125 	 0.55125 	 -0.20125 	
-24 	 3 	 1017 	-1 	 0 	 88 	-0.2975 	 0.5425 	 -0.21 	
-25 	 3 	 1017 	-1 	 0 	 88 	-0.28 	 0.53375 	 -0.1925 	
-24 	 3 	 1017 	-1 	 0 	 88 	-0.28 	 0.55125 	 -0.175 	
-24 	 3 	 1017 	-1 	 0 	 88 	-0.32375 	 0.55125 	 -0.21 	
-25 	 2 	 1016 	-1 	 0 	 88 	-0.315 	 0.56875 	 -0.21 	
-25 	 3 	 1016 	-1 	 0 	 88 	-0.2625 	 0.56 	 -0.20125 	
-25 	 2 	 1016 	-1 	 0 	 88 	-0.35 	 0.56875 	 -0.20125 	
-24 	 2 	 1018 	-1 	 0 	 88 	-0.27125 	 0.5775 	 -0.1925 	
-24 	 3 	 1017 	-1 	 0 	 88 	-0.2275 	 0.56 	 -0.21 	
-25 	 3 	 1017 	-1 	 0 	 88 	-0.315 	 0.595 	 -0.20125 	
-25 	 3 	 1016 	-1 	 0 	 88 	-0.2975 	 0.53375 	 -0.2275 	
-24 	 2 	 1017 	-1 	 0 	 88 	-0.27125 	 0.525 	 -0.18375 	
-25 	 2 	 1018 	-1 	 0 	 88 	-0.27125 	 0.5425 	 -0.21875 	
-25 	 2 	 1017 	-1 	 0 	 88 	-0.315 	 0.5075 	 -0.21 	
-24 	 2 	 1017 	-1 	 0 	 88 	-0.25375 	 0.55125 	 -0.18375 	
-25 	 3 	 1017 	-1 	 0 	 88 	-0.2975 	 0.56 	 -0.21 	
-24 	 2 	 1017 	-1 	 0 	 88 	-0.35 	 0.56875 	 -0.20125 	
-24 	 2 	 1016 	-1 	 0 	 88 	-0.28 	 0.595 	 -0.21875 	
-24 	 3 	 1017 	-1 	 0 	 88 	-0.2975 	 0.5425 	 -0.23625 	
-25 	 3 	 1017 	-1 	 0 	 88 	-0.2975 	 0.5775 	 -0.20125 	
-25 	 3 	 1016 	-1 	 0 	 88 	-0.25375 	 0.56 	 -0.20125 	
-24 	 3 	 1017 	-1 	 0 	 88 	-0.30625 	 0.595 	 -0.21 	
-25 	 3 	 1016 	-1 	 0 	 88 	-0.3325 	 0.5775 	 -0.21 	
-25 	 2 	 1017 	-1 	 0 	 88 	-0.2975 	 0.56875 	 -0.21 	
-24 	 3 	 1016 	-1 	 0 	 88 	-0.245 	 0.595 	 -0.2275 	
-25 	 3 	 1016 	-1 	 0 	 88 	-0.34125 	 0.56 	 -0.21 	
-25 	 3 	 1016 	-1 	 0 	 88 	-0.315 	 0.56875 	 -0.21 	
-25 	 3 	 1017 	-1 	 0 	 88 	-0.25375 	 0.55125 	 -0.1925 	
-25 	 2 	 1017 	-1 	 0 	 88 	-0.35 	 0.56875 	 -0.18375 	
-24 	 2 	 1017 	-1 	 0 	 88 	-0.34125 	 0.58625 	 -0.20125 	
-24 	 3 	 1018 	-1 	 0 	 88 	-0.28 	 0.55125 	 -0.18375 	
-24 	 2 	 1017 	-1 	 0 	 88 	-0.32375 	 0.595 	 -0.20125 	
-26 	 2 	 1018 	-1 	 0 	 88 	-0.315 	 0.5425 	 -0.1925 	
-25 	 3 	 1018 	-1 	 0 	 88 	-0.27125 	 0.56875 	 -0.1575 	
-24 	 3 	 1017 	-1 	 0 	 88 	-0.315 	 0.56 	 -0.175 	
-24 	 2 	 1017 	-1 	 0 	 88 	-0.315 	 0.5425 	 -0.175 	
-25 	 3 	 1017 	-1 	 0 	 88 	-0.23625 	 0.5425 	 -0.21875 	
-24 	 3 	 1017 	-1 	 0 	 88 	-0.28875 	 0.5075 	 -0.2275 	
-24 	 2 	 1017 	-1 	 0 	 88 	-0.315 	 0.55125 	 -0.20125 	
-24 	 2 	 1018 	-1 	 0 	 88 	-0.2625 	 0.53375 	 -0.18375 	
-26 	 3 	 1017 	-1 	 0 	 88 	-0.315 	 0.56 	 -0.20125 	
-24 	 2 	 1017 	-1 	 0 	 88 	-0.32375 	 0.51625 	 -0.18375 	
-25 	 3 	 1017 	-1 	 0 	 88 	-0.28 	 0.55125 	 -0.21875 	
-24 	 3 	 1018 	-1 	 0 	 88 	-0.28 	 0.55125 	 -0.20125 	
-24 	 3 	 1017 	-1 	 0 	 88 	-0.35 	 0.55125 	 -0.18375 	
-24 	 2 	 1018 	-1 	 0 	 88 	-0.2625 	 0.56875 	 -0.18375 	
-24 	 3 	 1017 	-1 	 0 	 88 	-0.28 	 0.56 	 -0.18375 	
-24 	 2 	 1018 	-1 	 0 	 88 	-0.315 	 0.53375 	 -0.20125 	
-24 	 2 	 1018 	-1 	 0 	 88 	-0.28 	 0.53375 	 -0.1925 	
-25 	 3 	 1018 	-1 	 0 	 88 	-0.245 	 0.53375 	 -0.18375 	
-24 	 3 	 1018 	-1 	 0 	 88 	-0.315 	 0.5775 	 -0.20125 	
-23 	 3 	 1017 	-1 	 0 	 88 	-0.28875 	 0.56 	 -0.21875 	
-25 	 3 	 1017 	-1 	 0 	 88 	-0.2275 	 0.56875 	 -0.20125 	
-23 	 3 	 1017 	-1 	 0 	 88 	-0.2975 	 0.56 	 -0.21875 	
-25 	 3 	 1018 	-1 	 0 	 88 	-0.2975 	 0.56 	 -0.21 	
-25 	 3 	 1017 	-1 	 0 	 88 	-0.2625 	 0.595 	 -0.1925 	
-25 	 2 	 1018 	-1 	 0 	 88 	-0.27125 	 0.5425 	 -0.21 	
-25 	 3 	 1018 	-1 	 0 	 88 	-0.28875 	 0.58625 	 -0.1925 	
-25 	 3 	 1018 	-1 	 0 	 88 	-0.23625 	 0.5425 	 -0.175 	
-25 	 2 	 1017 	-1 	 0 	 88 	-0.3325 	 0.56875 	 -0.18375 	
-24 	 2 	 1017 	-1 	 0 	 88 	-0.2975 	 0.56875 	 -0.20125 	
-25 	 4 	 1018 	-1 	 0 	 88 	-0.2275 	 0.5075 	 -0.20125 	
-25 	 3 	 1018 	-1 	 0 	 88 	-0.27125 	 0.53375 	 -0.20125 	
-25 	 3 	 1017 	-1 	 0 	 88 	-0.315 	 0.5425 	 -0.18375 	
-24 	 3 	 1018 	-1 	 0 	 88 	-0.27125 	 0.56875 	 -0.18375 	
-25 	 3 	 1017 	-1 	 0 	 88 	-0.2975 	 0.5775 	 -0.20125 	
-23 	 3 	 1016 	-1 	 0 	 88 	-0.28875 	 0.56 	 -0.21 	
-25 	 3 	 1017 	-1 	 0 	 88 	-0.245 	 0.60375 	 -0.21 	
-24 	 4 	 1017 	-1 	 0 	 88 	-0.28 	 0.525 	 -0.2275 	
-24 	 3 	 1018 	-1 	 0 	 88 	-0.35875 	 0.5775 	 -0.18375 	
-24 	 3 	 1018 	-1 	 0 	 88 	-0.28 	 0.5425 	 -0.1925 	
-24 	 4 	 1017 	-1 	 0 	 88 	-0.245 	 0.56 	 -0.175 	
-25 	 2 	 1018 	-1 	 0 	 88 	-0.34125 	 0.5775 	 -0.20125 	
-24 	 2 	 1017 	-1 	 0 	 88 	-0.27125 	 0.53375 	 -0.20125 	
-24 	 3 	 1017 	-1 	 0 	 88 	-0.21 	 0.53375 	 -0.21875 	
-24 	 2 	 1018 	-1 	 0 	 88 	-0.32375 	 0.5775 	 -0.2275 	
-24 	 3 	 1018 	-1 	 0 	 88 	-0.2625 	 0.56 	 -0.21875 	
-24 	 2 	 1017 	-1 	 0 	 88 	-0.25375 	 0.595 	 -0.20125 	
-25 	 3 	 1017 	-1 	 0 	 88 	-0.35 	 0.56 	 -0.20125 	
-25 	 3 	 1017 	-1 	 0 	 88 	-0.35 	 0.595 	 -0.1925 	
-25 	 3 	 1018 	-1 	 0 	 88 	-0.21875 	 0.5775 	 -0.18375 	
-24 	 3 	 1017 	-1 	 0 	 88 	-0.2975 	 0.58625 	 -0.175 	
-24 	 2 	 1018 	-1 	 0 	 88 	-0.2975 	 0.56875 	 -0.21875 	
-24 	 2 	 1018 	-1 	 0 	 88 	-0.2625 	 0.56875 	 -0.2275 	
-25 	 3 	 1018 	-1 	 0 	 88 	-0.28875 	 0.5425 	 -0.21875 	
-24 	 2 	 1019 	-1 	 0 	 88 	-0.32375 	 0.56 	 -0.23625 	
-24 	 2 	 1019 	-1 	 0 	 88 	-0.28 	 0.58625 	 -0.21 	
-25 	 3 	 1017 	-1 	 0 	 88 	-0.28875 	 0.56 	 -0.18375 	
-25 	 3 	 1017 	-1 	 0 	 88 	-0.3325 	 0.5775 	 -0.18375 	
-24 	 3 	 1018 	-1 	 0 	 88 	-0.28 	 0.56875 	 -0.1575 	
-25 	 4 	 1018 	-1 	 0 	 88 	-0.27125 	 0.5775 	 -0.20125 	
-24 	 3 	 1018 	-1 	 0 	 88 	-0.3675 	 0.58625 	 -0.1925 	
-25 	 3 	 1018 	-1 	 0 	 88 	-0.315 	 0.53375 	 -0.20125 	
-24 	 3 	 1018 	-1 	 0 	 88 	-0.28 	 0.595 	 -0.21 	
-24 	 3 	 1018 	-1 	 0 	 88 	-0.32375 	 0.5775 	 -0.21 	
-24 	 2 	 1018 	-1 	 0 	 88 	-0.27125 	 0.5425 	 -0.21 	
-24 	 3 	 1018 	-1 	 0 	 88 	-0.28875 	 0.56 	 -0.18375 	
-25 	 3 	 1017 	-1 	 0 	 88 	-0.32375 	 0.5425 	 -0.21 	
-24 	 2 	 1017 	-1 	 0 	 88 	-0.2975 	 0.53375 	 -0.20125 	
-24 	 4 	 1018 	-1 	 0 	 88 	-0.2625 	 0.53375 	 -0.18375 	
-25 	 3 	 1017 	-1 	 0 	 88 	-0.27125 	 0.5775 	 -0.21875 	
-25 	 3 	 1017 	-1 	 0 	 88 	-0.2975 	 0.60375 	 -0.20125 	
-25 	 3 	 1018 	-1 	 0 	 88 	-0.21875 	 0.56 	 -0.18375 	
-24 	 3 	 1019 	-1 	 0 	 88 	-0.32375 	 0.58625 	 -0.175 	
-24 	 2 	 1017 	-1 	 0 	 88 	-0.315 	 0.55125 	 -0.175 	
-25 	 2 	 1017 	-1 	 0 	 88 	-0.2625 	 0.5775 	 -0.1925 	
-24 	 4 	 1017 	-1 	 0 	 88 	-0.32375 	 0.56 	 -0.1925 	
-24 	 2 	 1017 	-1 	 0 	 88 	-0.35 	 0.55125 	 -0.20125 	
-25 	 3 	 1018 	-1 	 0 	 88 	-0.28 	 0.56 	 -0.1925 	
-25 	 3 	 1017 	-1 	 0 	 88 	-0.2625 	 0.56875 	 -0.175 	
-25 	 2 	 1018 	-1 	 0 	 88 	-0.3325 	 0.56 	 -0.175 	
-24 	 3 	 1018 	-1 	 0 	 88 	-0.25375 	 0.56 	 -0.20125 	
-25 	 3 	 1017 	-1 	 0 	 88 	-0.2625 	 0.58625 	 -0.20125 	
-24 	 2 	 1017 	-1 	 0 	 88 	-0.35 	 0.58625 	 -0.1925 	
-24 	 2 	 1017 	-1 	 0 	 88 	-0.30625 	 0.5425 	 -0.18375 	
-24 	 3 	 1018 	-1 	 0 	 88 	-0.25375 	 0.58625 	 -0.16625 	
-25 	 3 	 1017 	-1 	 0 	 88 	-0.32375 	 0.55125 	 -0.20125 	
-25 	 3 	 1018 	-1 	 0 	 88 	-0.28875 	 0.56 	 -0.20125 	
-24 	 3 	 1018 	-1 	 0 	 88 	-0.23625 	 0.53375 	 -0.21 	
-25 	 3 	 1019 	-1 	 0 	 88 	-0.32375 	 0.53375 	 -0.20125 	
-25 	 3 	 1017 	-1 	 0 	 88 	-0.28875 	 0.55125 	 -0.20125 	
-25 	 4 	 1018 	-1 	 0 	 88 	-0.25375 	 0.5425 	 -0.20125 	
-24 	 4 	 1017 	-1 	 0 	 88 	-0.3325 	 0.56 	 -0.175 	
-24 	 2 	 1018 	-1 	 0 	 88 	-0.30625 	 0.5425 	 -0.18375 	
-25 	 3 	 1019 	-1 	 0 	 88 	-0.27125 	 0.56 	 -0.175 	
-24 	 3 	 1018 	-1 	 0 	 88 	-0.35875 	 0.595 	 -0.18375 	
-24 	 3 	 1018 	-1 	 0 	 88 	-0.30625 	 0.53375 	 -0.21 	
-25 	 3 	 1018 	-1 	 0 	 88 	-0.28 	 0.56 	 -0.20125 	
